Run,Fraction,TechRepMixture,Mixture
ea11921_BeaMouPro,1,1,Mixture1
ea11920_BeaMouPro,2,1,Mixture1
ea11919_BeaMouPro,3,1,Mixture1
ea11918_BeaMouPro,4,1,Mixture1
ea11929_BeaMouPro,5,1,Mixture1
ea11928_BeaMouPro,6,1,Mixture1
ea11927_BeaMouPro,7,1,Mixture1
ea11926_BeaMouPro,8,1,Mixture1
ea11925_BeaMouPro,9,1,Mixture1
ea11924_BeaMouPro,10,1,Mixture1
ea11923_BeaMouPro,11,1,Mixture1
ea11922_BeaMouPro,12,1,Mixture1
