Run,Fraction,TechRepMixture,Mixture
a28949_20230115101750_bea_mou_pho3,1,1,Mixture1
a28948_20230115072025_bea_mou_pho3,1,2,Mixture1
a28995_bea_mou_pho3,1,3,Mixture1
