Run,Fraction,TechRepMixture,Mixture
ea12020_kidpro,1,1,Mixture1
ea12019_kidpro,2,1,Mixture1
ea12018_kidpro,3,1,Mixture1
ea12017_kidpro,4,1,Mixture1
ea12016_kidpro,5,1,Mixture1
ea12015_kidpro,6,1,Mixture1
ea12014_kidpro,7,1,Mixture1
ea12025_kidpro,8,1,Mixture1
ea12024_kidpro,9,1,Mixture1
ea12023_kidpro,10,1,Mixture1
ea12022_kidpro,11,1,Mixture1
ea12021_kidpro,12,1,Mixture1
