Run,Fraction,TechRepMixture,Mixture
ea12035_lng,1,1,Mixture1
ea12034_lng,2,1,Mixture1
ea12033_lng,3,1,Mixture1
ea12032_lng,4,1,Mixture1
ea12031_lng,5,1,Mixture1
ea12030_lng,6,1,Mixture1
ea12029_lng,7,1,Mixture1
ea12028_lng,8,1,Mixture1
ea12027_lng,9,1,Mixture1
ea12038_lng,10,1,Mixture1
ea12037_lng,11,1,Mixture1
ea12036_lng,12,1,Mixture1
